variable_funcional,campo_sql_candidato,tipo_sql,validado
tgv_pleth,TGVPleth,float,true
rv_pleth,RVPleth,float,true
tlc_pleth,TLCPleth,float,true
rv_tlc_pleth,RVTLCPl,float,true
trapped_gas,TrappGas,float,true
v_pant,VPant,float,true
raw,Raw,float,true
gaw,Gaw,float,true
s_gaw,sGaw,float,true
s_raw,sRaw,float,true
raw_inspiratory,RawInspiratory,float,true
raw_expiratory,RawExpiratory,float,true
v_pant_freq,VPantFreq,float,true
pleth_ats_codes,PlethATSCodes,nvarchar,true
external_resistance,ExternalResistance,float,true
box_volume,BoxVolume,float,true
ic_tlc_pleth,ICTLCPleth,float,true
